ca,regime,famille,paquet,poids
266592.38,3,CO,B,142.02
439740.00,3,AR,B,142.02
6302940.00,3,AR,A,142.02
219870.00,3,CO,B,362.37
366450.00,1,TR,B,142.02
567997.50,3,CO,B,142.02
12966222.50,3,NA,A,362.37
1612380.00,2,CO,B,158.58
2511648.30,2,CO,B,158.58
2858310.00,1,AR,B,158.58
395766.00,3,AR,B,158.58
4250820.00,1,AR,B,158.58
1465800.00,1,AR,B,158.58
329805.00,1,AR,B,158.58
146580.00,2,CO,B,158.58
219870.00,3,AR,B,158.58
1639253.00,3,AR,B,262.82
219870.00,2,CO,B,262.82
183225.00,1,AR,B,262.82
671825.00,1,NA,B,262.82
1026060.00,2,CO,B,269.54
551140.80,3,CO,B,269.54
1172640.00,3,NA,B,269.54
1099350.00,3,CO,B,269.54
879480.00,2,CO,B,269.54
2198700.00,3,AR,B,399.67
977200.00,2,CO,B,399.67
1172640.00,2,CO,B,113.35
1465800.00,1,AR,B,113.35
1465800.00,1,AR,B,113.35
183225.00,2,CO,B,113.35
43974.00,2,CO,B,113.35
1099350.00,1,AR,B,113.35
549675.00,1,AR,B,113.35
897802.50,2,CO,B,113.35
1099350.00,2,CO,B,113.35
879480.00,2,CO,B,113.35
7329000.00,1,NA,A,113.35
43974.00,2,CO,B,113.35
51303.00,3,AR,B,113.35
183225.00,1,AR,B,113.35
87948.00,3,AR,B,113.35
9527700.00,3,AR,A,113.35
1649025.00,1,AR,B,113.35
439740.00,2,CO,B,113.35
4543980.00,2,CO,B,455.16
2748375.00,2,CO,B,165.80
7329000.00,3,AR,A,165.80
4690560.00,3,AR,B,165.80
1319220.00,1,AR,B,165.80
21987000.00,2,CO,O,165.80
513030.00,1,NA,B,165.80
7915320.00,3,AR,A,165.80
969626.70,2,CO,B,165.80
586320.00,1,AR,B,165.80
1978830.00,3,CO,B,165.80
41775.30,3,CO,B,165.80
1319220.00,1,TR,B,165.80
13705230.00,1,NA,A,165.80
1319220.00,2,AR,B,165.80
3298050.00,3,AR,B,165.80
1407168.00,1,AR,B,165.80
6852615.00,2,CO,A,165.80
855050.00,3,AR,B,165.80
2052120.00,3,AR,B,165.80
7915320.00,2,CO,A,165.80
7939.75,3,AR,B,165.80
879480.00,3,AR,B,2715.76
1209285.00,1,AR,B,2715.76
1172640.00,2,CO,B,2715.76
659610.00,3,AR,B,2715.76
1758960.00,1,NA,B,2715.76
73290.00,3,AR,B,883.87
439740.00,2,CO,B,883.87
61075.00,3,NA,B,883.87
1465800.00,1,AR,B,883.87
4397400.00,3,AR,B,883.87
1758960.00,1,TR,B,883.87
366450.00,2,CO,B,883.87
230863.50,1,NA,B,883.87
879480.00,3,NA,B,1777.98
97720.00,3,CO,B,1777.98
366450.00,3,CO,B,1777.98
3847725.00,2,CO,B,640.90
1978830.00,1,NA,B,640.90
2931600.00,3,AR,B,640.90
1026060.00,3,NA,B,640.90
2638440.00,2,CO,B,640.90
2902284.00,3,AR,B,640.90
952770.00,3,CO,B,640.90
1583064.00,2,CO,B,640.90
879480.00,1,AR,B,640.90
961931.25,3,CO,B,640.90
2638440.00,2,CO,B,1623.75
152443.20,2,CO,B,640.90
4397400.00,3,AR,B,640.90
10993.50,1,AR,B,640.90
732900.00,1,NA,B,771.11
2687300.00,1,AR,B,771.11
4397400.00,1,NA,B,771.11
586320.00,3,CO,B,771.11
2198700.00,3,CO,B,771.11
1319220.00,2,AR,B,1259.22
1319220.00,2,CO,B,1259.22
3298050.00,2,CO,B,705.55
1905540.00,3,AR,B,705.55
2198700.00,1,TR,B,705.55
4397400.00,3,AR,B,1329.78
2052120.00,1,AR,B,1329.78
586320.00,2,CO,B,1329.78
109935.00,3,AR,B,1341.08
10260600.00,3,CO,A,1341.08
25651500.00,3,NA,O,1341.08
293160.00,3,CO,B,2048.54
11726400.00,1,NA,A,2048.54
6771996.00,2,CO,A,2048.54
175896.00,1,AR,B,700.93
1612380.00,3,CO,B,700.93
14291550.00,2,CO,A,700.93
14291550.00,2,CO,A,700.93
4397400.00,3,AR,B,700.93
4030950.00,3,AR,B,700.93
13192200.00,3,CO,A,700.93
952770.00,2,CO,B,700.93
2198700.00,3,AR,B,1169.59
12026889.00,2,CO,A,542.26
7329000.00,1,TR,A,542.26
4763850.00,1,TR,B,542.26
2931600.00,1,NA,B,542.26
1407168.00,3,NA,B,542.26
4397400.00,3,CO,B,542.26
10993500.00,2,CO,A,542.26
4397400.00,2,CO,B,542.26
15390900.00,3,AR,O,542.26
1114008.00,2,CO,B,2016.17
9307830.00,3,CO,A,729.41
7695450.00,3,CO,A,729.41
5892516.00,1,TR,A,729.41
23745960.00,3,CO,O,1290.10
219870.00,3,CO,B,1290.10
